Station Component,Filename,Easting Mean (m),Std. Dev. Easting (m),Precision Easting (m),Northing Mean (m),Std. Dev. Northing (m),Precision Northing (m),Up Mean (m),Std. Dev. Up (m),Precision Up (m)
Helper B,2021_survey_results.csv,-1605.6580643283316,nan,2.1505,1169.9173798157863,nan,2.1505,-11.723107802924176,nan,1.0419
Helper C,2021_survey_results.csv,-1589.1447514518384,nan,1.9943,1199.8277571016724,nan,1.9943,-12.2392283660119,nan,1.0231
Power A,2021_survey_results.csv,-1623.3156771074157,nan,nan,1196.6389763405969,nan,nan,-12.030983135441488,nan,nan
LPDA 9,2021_survey_results.csv,-1610.2216430740891,nan,0.9233,1195.2892755599373,nan,0.9233,-11.586076920015898,nan,0.9081
LPDA 8,2021_survey_results.csv,-1611.3855891458356,nan,0.9334,1192.9582489705826,nan,0.9334,-11.493068406046177,nan,0.921
LPDA 7,2021_survey_results.csv,-1612.0214699147887,nan,0.0088,1187.7642344462135,nan,0.0088,-11.416063469427343,nan,0.0137
LPDA 6,2021_survey_results.csv,-1607.6472819709093,nan,0.0088,1179.5473343913511,nan,0.0088,-11.389094238710868,nan,0.0136
LPDA 5,2021_survey_results.csv,-1604.945297582318,nan,0.194,1180.3783961647364,nan,0.194,-10.918113671434526,nan,0.2097
LPDA 4,2021_survey_results.csv,-1601.9842793740227,nan,0.0585,1179.4114637816579,nan,0.0585,-11.460134831391088,nan,0.027
LPDA 3,2021_survey_results.csv,-1597.8994635293568,nan,0.3723,1187.4905571223408,nan,0.3723,-11.39816470495083,nan,0.2128
LPDA 2,2021_survey_results.csv,-1598.9535192321741,nan,0.3142,1189.8995330310265,nan,0.3142,-11.490157319971956,nan,0.2128
LPDA 1,2021_survey_results.csv,-1600.3235852090556,nan,nan,1192.4525016510033,nan,nan,-12.556147681604557,nan,nan
