Station Component,Filename,Easting Mean (m),Std. Dev. Easting (m),Precision Easting (m),Northing Mean (m),Std. Dev. Northing (m),Precision Northing (m),Up Mean (m),Std. Dev. Up (m),Precision Up (m)
Helper B,2021_survey_results.csv,-206.80278231095735,nan,1.9199,2208.1223428240455,nan,1.9199,-11.200212568671532,nan,1.5349
Helper C,2021_survey_results.csv,-172.0005783464269,nan,1.8116,2201.155138474142,nan,1.8116,-4.957461589357763,nan,1.3989
Power A,2021_survey_results.csv,-189.2910154054316,nan,0.005,2174.991743044027,nan,0.005,-9.820335727341444,nan,0.009
Surface Pulser,2021_survey_results.csv,-189.45078828421492,nan,2.297,2208.2267392656713,nan,2.297,-11.701336986737601,nan,1.5762
LPDA 4,2021_survey_results.csv,-186.83326793714002,nan,0.005,2186.0667992093295,nan,0.005,-9.747354150052274,nan,0.009
LPDA 5,2021_survey_results.csv,-189.51328116923003,nan,nan,2186.476737935388,nan,nan,-10.286334963767558,nan,nan
LPDA 6,2021_survey_results.csv,-191.7982717800429,nan,0.0067,2186.1906857534527,nan,0.0067,-9.888318560568678,nan,0.0133
LPDA 7,2021_survey_results.csv,-197.89150613078846,nan,0.0054,2196.433546527796,nan,0.0054,-9.9312756135173,nan,0.0096
LPDA 8,2021_survey_results.csv,-196.7825601146376,nan,0.0056,2198.8325718763394,nan,0.0056,-9.815283739198662,nan,0.0101
LPDA 9,2021_survey_results.csv,-195.7766084643739,nan,0.0057,2200.943594859347,nan,0.0057,-9.831291103735111,nan,0.0103
LPDA 1,2021_survey_results.csv,-183.9305982511073,nan,0.0066,2200.5158655371474,nan,0.0066,-9.770376006761921,nan,0.0115
LPDA 2,2021_survey_results.csv,-182.18354286391275,nan,0.0055,2198.117905459932,nan,0.0055,-9.687388361367766,nan,0.0098
LPDA 3,2021_survey_results.csv,-180.16538631991102,nan,1.3782,2192.5959518763043,nan,1.3782,-5.451402429476616,nan,1.3277
