Station Component,Filename,Easting Mean (m),Std. Dev. Easting (m),Precision Easting (m),Northing Mean (m),Std. Dev. Northing (m),Precision Northing (m),Up Mean (m),Std. Dev. Up (m),Precision Up (m)
Power A,station24_20220714_single_latlon.pos,226.4947589236871,0.25749731817552884,4.056340423162608,4604.3253114344025,0.27372900850192466,3.5342274387527923,-15.639480957279249,1.0481264632817222,13.246209799554546
LPDA 1,station24_20220714_single_latlon.pos,224.08417432576974,0.13856898990063166,4.088899411764697,4614.1096519430375,0.20811308892808822,3.58672831932773,-11.395776229621296,0.95732578315349,14.104107310924379
LPDA 2,station24_20220714_single_latlon.pos,221.53184528227115,0.09362781759037603,4.13288606060606,4614.023479421437,0.10893827072333159,3.6267423232323215,-14.246246116657224,0.8745524764613202,14.798370606060598
LPDA 3,station24_20220714_single_latlon.pos,218.72245593314088,0.16566119237468405,3.492392424242433,4613.089769994299,0.09535793555085456,3.556961010101032,-9.376323248549388,0.3529127943210568,12.032558989898986
Helper B,station24_20220714_single_latlon.pos,198.66537102138273,0.18944806621739588,3.4876749664429285,4621.8970900346185,0.17278701094963447,3.5603706040268364,-5.71072986625181,0.5534849427109934,12.613816644295303
LPDA 4,station24_20220714_single_latlon.pos,211.38033816488215,0.16273434962819064,3.4835645736433998,4618.055038779957,0.4344089161046186,3.5611301550387426,-8.782556425114883,0.8056557785059262,12.94770542635658
LPDA 5,station24_20220714_single_latlon.pos,211.8761706249336,0.32264273323370335,3.4797946308724863,4620.298823568151,0.16033629988375814,3.560333355704722,-8.210769168110712,0.5006049946816492,13.139915436241614
LPDA 6,station24_20220714_single_latlon.pos,211.95218210432265,0.1771745404243326,3.475084804469258,4622.415929429855,0.17051294361347974,3.556934022346379,-8.621991264265919,0.5811939843065731,13.20564631284917
Helper C,station24_20220714_single_latlon.pos,236.0043306250001,0.2089649857770612,3.4719481879194776,4629.603736249998,0.139634770779812,3.5519077181207983,-8.6545025,0.49712454944465034,13.064130134228192
LPDA 7,station24_20220714_single_latlon.pos,222.97146782122925,0.0653137775402574,3.4703281132075827,4625.4494750838,0.0887035595878902,3.546417987421373,-8.63930452513966,0.41796972329654153,12.811617421383637
LPDA 8,station24_20220714_single_latlon.pos,224.5664036134452,0.08604654818712623,3.7016838129495873,4623.114737310929,0.15191745078685834,3.540787625899274,-8.808167310924397,0.44068117539962587,13.640021438848917
LPDA 9,station24_20220714_single_latlon.pos,226.22112941798983,0.08117312449657316,4.185343939393928,4620.513149629628,0.09608788669497811,3.533940606060603,-7.94420693121694,0.5121674272703811,15.80705313131314
Surface Pulser,station24_20220714_single_latlon.pos,217.93232242603577,0.20754174140892206,4.187211348314628,4635.728710473381,0.0880741035500113,3.524239775280881,-8.831505266272188,0.6790789192493776,15.397187303370792
DAQ NE,station24_20220714_single_latlon.pos,219.6221900000004,0.2582003980086989,4.178176577181197,4620.286605971224,0.14241822958272732,3.511214161073837,-8.862016762589922,0.6295452105244788,14.64326268456376
DAQ SW,station24_20220714_single_latlon.pos,218.3178547169808,0.09697510054961533,4.165183021582725,4619.99319490566,0.11965515267826285,3.5014928057554013,-8.873128238993703,0.5006322690822214,13.980164604316561
Solar Panel A1,station24_20220714_single_latlon.pos,217.3489783193278,0.10492447026041249,3.853713643410843,4623.985442689079,0.10742445001668462,3.246648217054257,-8.683617731092438,0.4236061538870027,9.693066821705429
Solar Panel A2,station24_20220714_single_latlon.pos,217.28865236418483,0.11460367297596534,3.858922727272708,4622.947887223334,0.10802286755485689,3.2347325252525367,-8.714009456740458,0.36396522975235673,9.356482525252526
Solar Panel B1,station24_20220714_single_latlon.pos,221.85755015075384,0.09394260031362693,3.8389247474747403,4616.667042763814,0.10248054547864469,3.2695796969696933,-8.667244522613059,0.394988356643861,10.245833838383842
Solar Panel B2,station24_20220714_single_latlon.pos,223.0344924770644,0.14589380138855837,3.84648879194629,4616.554998348621,0.21694544226272125,3.2589442953020216,-8.695230825688085,0.5731261478735749,10.005111677852351
