Station Component,Filename,Easting Mean (m),Std. Dev. Easting (m),Precision Easting (m),Northing Mean (m),Std. Dev. Northing (m),Precision Northing (m),Up Mean (m),Std. Dev. Up (m),Precision Up (m)
Power A,SFE_Surveyor_220707_180151.pos,-1198.25488141892,0.01887976298005881,0.02386148648648648,3590.1907631756794,0.04444379763079252,0.03957364864864864,-6.641253040540542,0.17726740001863817,0.08471351351351349
LPDA 1,SFE_Surveyor_220813_183945.pos,-1194.4678649999998,0.0029536201168967762,0.049277499999999995,3604.3571949999996,0.026135828144911503,0.06803250000000001,-10.110779999999998,0.013439440617174565,0.24274000000000004
LPDA 2,SFE_Surveyor_220813_184403.pos,-1197.7374815789474,0.0042217285799457825,0.00413578947368421,3603.5452273684205,0.0025055680683119972,0.005738947368421061,-9.699211578947372,0.01277579029256325,0.02001473684210522
LPDA 3,SFE_Surveyor_220813_184733.pos,-1200.5087595918374,0.004458392036008833,0.015001836734693871,3603.577928367346,0.035819431717092426,0.01928020408163265,-10.943524897959168,0.24784942958764716,0.0547161224489796
LPDA 4,SFE_Surveyor_220813_185116.pos,-1205.1396162402682,0.07044117902702961,0.01904382647385983,3611.7993655172363,0.11531784288249194,0.02554466073414912,-10.79133921023359,0.9282480380402578,0.07792107897664166
LPDA 5,SFE_Surveyor_220813_185450.pos,-1203.4251283259434,0.09410539648477256,0.020191130820399073,3614.983575221727,0.2554315648178109,0.027065631929046575,-9.810298115299334,1.0303590440808141,0.079893181818182
LPDA 6,SFE_Surveyor_220813_185816.pos,-1202.0730237873752,0.02741692418301128,0.014361328903654458,3616.6172489701044,0.2622807093667359,0.01923501661129573,-9.861575415282378,0.11882978358559061,0.04882431893687699
LPDA 7,SFE_Surveyor_220813_190202.pos,-1193.2428650373777,0.06226748054678097,0.011450776308223278,3616.7410768832683,0.41871349277044523,0.01802507188039032,-9.845049108683153,0.6272306261411823,0.04953962047153525
LPDA 8,SFE_Surveyor_220813_190524.pos,-1191.812633225459,0.07659013530028837,0.01928576051779937,3613.786630906149,0.2561800906905218,0.028491909385113312,-10.806545037756186,1.09756189295472,0.07164336569579295
LPDA 9,SFE_Surveyor_220813_190903.pos,-1190.5516228476813,0.050704004977588514,0.005677814569536405,3611.5660771523167,0.04905643005834892,0.011581125827814575,-9.505766225165573,0.25658810080245525,0.030703311258278198
Surface Pulser,SFE_Surveyor_220813_191256.pos,-1198.0991354391376,0.02719905209924427,0.009003184386235168,3626.5282067283024,0.23871181258271915,0.020358448895736302,-9.63386045197739,0.043420536478482895,0.05528002054442753
Helper B,SFE_Surveyor_220707_181737.pos,-1215.0397478696723,0.04814247948410245,0.042244611528822015,3619.561404761907,0.20803472821404642,0.04958947368421052,-8.035548621553893,0.5456774135329909,0.12332882205513784
Helper C,SFE_Surveyor_220707_181943.pos,-1179.732324888889,0.1368095078251115,0.02962844444444443,3620.3375773333332,0.01939187679712073,0.040448888888888875,-7.856361777777775,0.19129925032628026,0.07610666666666666
Solar Panel A1,SFE_Surveyor_220707_182318.pos,-1201.8442431952667,0.004553775693075347,0.02848224852071006,3608.9923828402398,0.07726151556320898,0.04549704142011835,-7.420147928994081,0.14581409645453372,0.0747508875739645
Solar Panel A2,SFE_Surveyor_220707_182450.pos,-1200.29906513026,0.4765026250012304,0.05715671342685368,3608.990426252506,0.5521760695823893,0.0871474949899799,-9.857718436873743,1.3362433584616589,0.14990921843687383
Solar Panel B1,SFE_Surveyor_220707_182613.pos,-1198.4032563770788,0.2642596221679173,0.04762236598890945,3617.2402476894617,0.5260362186333745,0.07384935304990758,-8.087159519408504,0.5053435619814155,0.12268003696857674
Solar Panel B2,SFE_Surveyor_220707_182745.pos,-1198.0535979879287,0.17600827325443572,0.04951146881287725,3613.3667708249513,0.37163113781635626,0.06801649899396371,-7.823601006036216,0.35064235400529276,0.12375774647887336
DAQ NW,SFE_Surveyor_220707_182927.pos,-1197.9748052785917,0.021722094370006707,0.03693812316715542,3612.80559706745,0.0791818238402531,0.05030410557184748,-8.488389442815253,0.0979166924120904,0.0913542521994135
DAQ NW,SFE_Surveyor_220707_183046.pos,-1198.9588090543268,0.2730929567800151,0.04958913480885311,3610.616359356135,0.32181627296697474,0.0676686116700201,-12.094116498993955,0.18849526307852096,0.12286257545271642
