Station Component,"Filename,Easting Mean (m)",Std. Dev. Easting (m),Precision Easting (m),Northing Mean (m),Std. Dev. Northing (m),Precision Northing (m),Up Mean (m),Std. Dev. Up (m),Precision Up (m)
Power A,,-1572.8161736544128,nan,nan,729.3722386485937,nan,nan,-3.783231150073059,nan,nan
Helper B,,-1554.7976491387558,nan,nan,698.9022456279686,nan,nan,-4.0592608674387165,nan,nan
Helper C,,-1537.8473636495364,nan,nan,729.1808264401516,nan,nan,-3.826795739532251,nan,nan
LPDA 1,,-1551.630069398022,nan,nan,711.8646112526086,nan,nan,-3.8894215442196582,nan,nan
LPDA 2,,-1553.954747303955,nan,nan,711.9644356921117,nan,nan,-3.9109965972913017,nan,nan
LPDA 3,,-1557.0042519665797,nan,nan,712.0161459529784,nan,nan,-3.9297434091301966,nan,nan
LPDA 9,,-1547.5707992246353,nan,nan,720.1003404460122,nan,nan,-3.8563606072801804,nan,nan
LPDA 8,,-1548.3375558725143,nan,nan,722.6137298430899,nan,nan,-3.78082944988725,nan,nan
LPDA 7,,-1549.1069330765442,nan,nan,725.0127893211686,nan,nan,-3.7312870494097012,nan,nan
LPDA 6,,-1559.156947039428,nan,nan,725.2552718956191,nan,nan,-3.6127546591259545,nan,nan
LPDA 5,,-1560.2369817106928,nan,nan,723.0338295063193,nan,nan,-3.65376636394501,nan,nan
LPDA 4,,-1561.6040113841234,nan,nan,720.1746373656641,nan,nan,-3.7557772056632928,nan,nan
Surface Pulser,,-1554.7083412390411,nan,nan,728.0002944173776,nan,nan,-3.693984403376684,nan,nan
Solar1,,-1559.454845120724,nan,nan,717.8851072672733,nan,nan,-3.150995878335607,nan,nan
Solar2,,-1551.384106040532,nan,nan,718.927844935383,nan,nan,-3.1084851494449217,nan,nan
